Band;Original genre;State;Code
Gaahlskagg;Black_metal;Norway;NOR
Gallhammer;Black_metal;Japan;JPN
Gates of Ishtar;Black_metal;Sweden;SWE
Gehenna;Black_metal;Norway;NOR
Goatlord;Black_metal;United States;USA
Goatmoon;Black_metal;Finland;FIN
Goatwhore;Black_metal;United States;USA
God Dethroned;Black_metal;Netherlands;NLD
God Seed;Black_metal;Norway;NOR
Golden Dawn;Black_metal;Austria;AUT
Gorgoroth;Black_metal;Norway;NOR
Gospel of the Horns;Black_metal;Australia;AUS
Gramary;Black_metal;Finland;FIN
Grand Belial's Key;Black_metal;United States;USA
Graveland;Black_metal;Poland;POL
Grimfist;Black_metal;Norway;NOR
Hades Almighty;Black_metal;Norway;NOR
Handful of Hate;Black_metal;Italy;ITA
Hate;Black_metal;Poland;POL
Hate Forest;Black_metal;Ukraine;UKR
Hecate Enthroned;Black_metal;United Kingdom;GBR
Helheim;Black_metal;Norway;NOR
Hellhammer;Black_metal;Switzerland;CHE
Helrunar;Black_metal;Germany;DEU
Hollenthon;Black_metal;Austria;AUT
Holocausto;Black_metal;Brazil;BRA
Holy Blood;Black_metal;Ukraine;UKR
Horna;Black_metal;Finland;FIN
Horde;Black_metal;Australia;AUS
Horned Almighty;Black_metal;Denmark;DNK
Hortus Animae;Black_metal;United Kingdom;GBR
I;Black_metal;Norway;NOR
Ihsahn;Black_metal;Norway;NOR
Ildjarn;Black_metal;Norway;NOR
Immortal;Black_metal;Norway;NOR
Impaled Nazarene;Black_metal;Finland;FIN
Impending Doom;Black_metal;Germany;DEU
Impiety;Black_metal;Singapore;SGP
In Battle;Black_metal;Sweden;SWE
In the Woods...;Black_metal;Norway;NOR
Infernal;Black_metal;Sweden;SWE
Infernum;Black_metal;Poland;POL
Incantation;Black_metal;United States;USA
Inquisition;Black_metal;Colombia;COL
Isengard;Black_metal;Norway;NOR
Iskra;Black_metal;Canada;CAN
Judas Iscariot;Black_metal;United States;USA
Kampfar;Black_metal;Norway;NOR
Katatonia;Black_metal;Sweden;SWE
Keep of Kalessin;Black_metal;Norway;NOR
Kekal;Black_metal;Indonesia;IDN
Khold;Black_metal;Norway;NOR
King Diamond;Black_metal;Denmark;DNK
Koldbrann;Black_metal;Norway;NOR
Korovakill;Black_metal;Austria;AUT
The Kovenant;Black_metal;Norway;NOR
Krallice;Black_metal;United States;USA
Kreator;Black_metal;Germany;DEU
Krieg;Black_metal;United States;USA
Kvelertak;Black_metal;Norway;NOR
Leviathan;Black_metal;United Kingdom;GBR
Lengsel;Black_metal;Norway;NOR
Lifelover;Black_metal;Sweden;SWE
Limbonic Art;Black_metal;Norway;NOR
Lord Belial;Black_metal;Sweden;SWE
The Lord Diabolus;Black_metal;Finland;FIN
Lord Kaos;Black_metal;Australia;AUS
Lover of Sin;Black_metal;United States;USA
Lux Occulta;Black_metal;Poland;POL
Månegarm;Black_metal;Sweden;SWE
Manes;Black_metal;Norway;NOR
Marduk;Black_metal;Sweden;SWE
Master's Hammer;Black_metal;Czech Republic;CZE
Mayhem;Black_metal;Norway;NOR
The Meads of Asphodel;Black_metal;United Kingdom;GBR
Melechesh;Black_metal;Israel;ISR
Mercyful Fate;Black_metal;Denmark;DNK
Moonblood;Black_metal;Germany;DEU
Moonsorrow;Black_metal;Finland;FIN
Moonspell;Black_metal;Portugal;PRT
Morbid;Black_metal;Sweden;SWE
Mutilator;Black_metal;Brazil;BRA
Mütiilation;Black_metal;France;FRA
Myrkgrav;Black_metal;Norway;NOR
Myrkskog;Black_metal;Norway;NOR
Nachtmystium;Black_metal;United States;USA
Naer Mataron;Black_metal;Greece;GRC
Nagelfar;Black_metal;Germany;DEU
Naglfar;Black_metal;Sweden;SWE
Nahemah;Black_metal;Spain;ESP
Nargaroth;Black_metal;Germany;DEU
Nazxul;Black_metal;Australia;AUS
Necrodeath;Black_metal;Italy;ITA
Necromantia;Black_metal;Greece;GRC
Necrophobic;Black_metal;Sweden;SWE
Negură Bunget;Black_metal;Romania;ROU
Nifelheim;Black_metal;Sweden;SWE
Nightfall;Black_metal;Greece;GRC
Nokturnal Mortum;Black_metal;Ukraine;UKR
Nortt;Black_metal;Denmark;DNK
Nordafrost;Black_metal;Germany;DEU
Notre Dame;Black_metal;Sweden;SWE
Obscene Eulogy;Black_metal;Canada;CAN
Obscurity;Black_metal;Germany;DEU
Obtained Enslavement;Black_metal;Norway;NOR
Obtest;Black_metal;Lithuania;LTU
Ofermod;Black_metal;Sweden;SWE
Old Funeral;Black_metal;Norway;NOR
Old Man's Child;Black_metal;Norway;NOR
Ondskapt;Black_metal;Sweden;SWE
Opera IX;Black_metal;Italy;ITA
Oranssi Pazuzu;Black_metal;Finland;FIN
Orcustus;Black_metal;Norway;NOR
Order from Chaos;Black_metal;United States;USA
Ov Hell;Black_metal;Norway;NOR
Panopticon;Black_metal;United States;USA
Pantheon I;Black_metal;Norway;NOR
Paradox;Black_metal;United Kingdom;GBR
Paysage D'Hiver;Black_metal;Switzerland;CHE
Peste Noire;Black_metal;France;FRA
Primordial;Black_metal;Ireland;IRL
Profanatica;Black_metal;United States;USA
Ragnarok;Black_metal;Norway;NOR
Ram-Zet;Black_metal;Norway;NOR
Revenge;Black_metal;Canada;CAN
Rotting Christ;Black_metal;Greece;GRC
Rudra;Black_metal;Singapore;SGP
Ruins;Black_metal;Australia;AUS
