,Band,Original genre,Origin,Genres,Years active,Labels,Members,Past members
71,Helmet,Alternative_metal,"New York, New York, US","['Alternative metal', 'post-hardcore', 'noise rock']","['1989–1998', '2004–present']","['Amphetamine Reptile', 'Interscope', 'Warcon']","['Page Hamilton', 'Kyle Stevenson', 'Dave Case', 'Dan Beeman', '']",['See Members']
72,HIM,Alternative_metal,"Helsinki, Finland","['Gothic rock', 'gothic metal']",['1991–19931995–2017'],"['BMG', 'Sire', 'Razor & Tie', 'Double Cross', 'Universal Music Group']",,"['Ville Valo', 'Mikko ""Mige"" Paananen', 'Sami ""Juippi"" Jokilehto', 'Juha Tarvonen', 'Mikko ""Linde"" Lindström', 'Oskari ""Oki"" Kymäläinen', 'Antto Melasniemi', 'Juhana ""Pätkä"" Rantala', 'Mika ""Gas Lipstick"" Karppinen', 'Jussi-Mikko ""Juska"" Salminen', 'Janne ""Burton"" Puurtinen', 'Jukka ""Kosmo"" Kröger', '']"
73,Hollywood Undead,Alternative_metal,"Los Angeles, California, United States","['Rap rock', 'nu metal']",['2005\xa0(2005)–present'],"['MDDN', 'Interscope', 'A&M/Octone', 'Polydor', 'BMG']","['Daniel Murillo (Danny)', 'Dylan Alvarez (Funny Man)', 'George Ragan (Johnny 3 Tears)', 'Jordon Terrell (Charlie Scene)', 'Jorel Decker (J-Dog)']","['Matthew Busek (Da Kurlzz)', 'Arin Erlichman (Deuce)', 'Jeffrey Phillips (Shady Jeff)']"
74,In Flames,Alternative_metal,"Gothenburg, Sweden",['Alternative metalmelodic death metalheavy metalmetalcore'],['1990–present'],['Nuclear BlastFerretWrong AgainKochGood FightCentury MediaEpicSMERoadrunnerFearlessEleven Seven'],"['Anders Fridén', 'Björn Gelotte', 'Niclas Engelin', 'Bryce Paul', 'Tanner Wayne']","['Mikael Stanne', 'Glenn Ljungström', 'Anders Iwers', 'Johan Larsson', 'Jesper Strömblad', 'Henke Forss', 'Daniel Svensson', 'Peter Iwers', 'Carl Näslund', 'Joe Rickard ']"
75,In This Moment,Alternative_metal,"Los Angeles, California, U.S.","['Alternative metal', 'metalcore', 'industrial metal', 'gothic metal']",['2005–present'],"['Century Media', 'Atlantic', 'Roadrunner']","['Maria Brink', 'Chris Howorth', 'Travis Johnson', 'Randy Weitzel', 'Kent Diimmel', '']","['Blake Bunzel', 'Josh Newell', 'Pascual Romero', 'Jesse Landry', 'Kyle Konkiel', 'Jeff Fabb', 'Tom Hane', '']"
76,Incubus,Alternative_metal,"Calabasas, California, United States","['Alternative rock', 'alternative metal', 'funk rock', 'funk metal', 'nu metal', 'post-grunge']",['1991–present'],"['Island', 'Epic', 'Immortal', 'WEG']","['Brandon Boyd', 'Mike Einziger', 'Jose Pasillas', 'Chris Kilmore', 'Ben Kenney', '']","['Alex Katunich', 'Gavin Koppell', '']"
77,Jane's Addiction,Alternative_metal,"Los Angeles, California, United States","['Alternative rock', 'alternative metal', 'funk metal', 'neo-psychedelia', 'psychedelic rock']","['1985\xa0(1985)–1991', '1997', '2001–2004', '2008–present']","['Warner Bros.', 'Capitol', 'EMI', 'Triple X']","['Perry Farrell', 'Dave Navarro', 'Stephen Perkins', 'Chris Chaney', '']","['Eric Avery', 'Martyn LeNoble', 'Dave Sitek', 'Duff McKagan', 'Flea', '']"
78,Jerry Cantrell,Alternative_metal,,"['Alternative metal', 'grunge', 'heavy metal', 'doom metal', 'sludge metal', 'hard rock']",['1985–present'],['ColumbiaRoadrunnerBMG'],,
79,Jesters of Destiny,Alternative_metal,"Los Angeles, California, United States","['Heavy metal, hard rock, psychedelic rock, alternative metal']","['1984\xa0(1984)–1988\xa0(1988), 2014–present']",['Dimension'],,
80,The Jesus Lizard,Alternative_metal,"Austin, Texas, United States","['Noise rock, post-hardcore, alternative rock']","['1987–1999, 2008–2010, 2017–present']","['Touch and Go, Capitol']","['David Yow', 'David Wm. Sims', 'Duane Denison', 'Mac McNeilly']","['Jim Kimball', 'Brendan Murphy']"
81,Karnivool,Alternative_metal,"Perth, Australia","['Progressive rock', 'alternative metal', 'progressive metal', 'nu metal (early)']",['1997–present'],"['Sic Squared Records/MGM Distribution (Australia)', 'Bieler Bros. (international)', 'Cymatic Records', 'Sony Music', 'Density Records']","['Andrew Goddard', 'Ian Kenny', 'Jon Stockman', 'Mark Hosking', 'Steve Judd', '']","['Andrew Brown', 'Brett McKenzie', 'Ray Hawking', '']"
82,Kittie,Alternative_metal,"London, Ontario, Canada","['Heavy metal', 'death metal', 'alternative metal', 'nu metal']",['1996\xa0(1996)–present'],['E1X of InfamyArtemisNg'],"['Morgan Lander', 'Mercedes Lander', 'Tara McLeod', 'Nancy Garza']","['Tanya Candler', 'Fallon Bowman', 'Talena Atfield', 'Lisa Marx', 'Jennifer Arroyo', 'Ivana ""Ivy"" Vujic ', 'Trish Doan']"
83,KMFDM,Alternative_metal,"Hamburg, Germany","['Industrial techno', 'industrial rock', 'industrial metal', 'electro-industrial']","['1984–1999', '2002–present']","['KMFDM', 'Metropolis', 'Z', 'Skysaw', 'Wax Trax!', 'Sanctuary', 'TVT']","['Sascha Konietzko', 'Lucia Cifarelli', 'Andy Selway', 'Andee Blacksugar', '']","['Mark Durante', 'En Esch', 'Jules Hodgson', 'Rudolf Naomi', 'Bill Rieflin', 'Günter Schulz', 'Tim Skold', 'Raymond Watts', 'Steve White', '']"
84,Korn,Alternative_metal,"Bakersfield, California, U.S.","['Nu metal', 'alternative metal']",['1993–present'],"['Prospect Park', 'Caroline', 'Roadrunner', 'Virgin', 'Epic', 'Immortal']","['Jonathan Davis', 'James Shaffer', 'Reginald Arvizu', 'Brian Welch', 'Ray Luzier', '']",['David Silveria']
85,Kyuss,Alternative_metal,"Palm Desert, California, United States","['Stoner rock', 'desert rock', 'heavy metal']",['1987–1996'],"['Dali', 'Elektra', 'Bong Load', ""Man's Ruin""]",,"['Josh Homme', 'John Garcia', 'Scott Reeder', 'Alfredo Hernández', 'Chris Cockrell', 'Brant Bjork', 'Nick Oliveri']"
86,L7,Alternative_metal,"Los Angeles, California, U.S.","['Grunge', 'hard rock', 'alternative metal', 'punk rock']","['1985–2001', '2014–present']","['Epitaph', 'Sub Pop', 'Slash', ""Man's Ruin"", 'Wax Tadpole']","['Donita Sparks', 'Suzi Gardner', 'Jennifer Finch', 'Demetra Plakas', '']","['Roy Koutsky', 'Greta Brinkman', 'Gail Greenwood', 'Janis Tanaka', 'Anne Anderson', '']"
87,Lacuna Coil,Alternative_metal,"Milan, Italy","['Gothic metal', 'alternative metal', 'Nu metal']",['1994\xa0(1994)–present'],['Century Media'],"['Andrea Ferro', 'Marco Coti Zelati', 'Cristina Scabbia', 'Ryan Blake Folden', 'Diego Cavallotti']","['Michaelangelo Algardi', 'Raffaele Zagaria', 'Claudio Leo', 'Leonardo Forti', 'Cristiano Migliore', 'Cristiano Mozzati', 'Marco Biazzi']"
88,Life of Agony,Alternative_metal,"Brooklyn, New York, United States",['Alternative metal'],"['1989–1999, 2002–2012, 2014–present']","['Roadrunner, Epic, I Scream']","['Mina Caputo', 'Alan Robert', 'Joey Z.', 'Veronica Bellino']","['Whitfield Crane', 'Dan Richardson', 'Sal Abruscato', 'Eric Chan', 'Mike Palmeri', 'Kenny Pedersen ', 'Joseph Hoopsick']"
89,Leprous,Alternative_metal,"Notodden, Norway","['Progressive metal, progressive rock, experimental rock, avant-garde metal']",['2001–present'],['Sensory RecordsInside Out Music/Century Media'],"['Einar Solberg', 'Tor Oddmund Suhrke', 'Robin Ognedal', 'Baard Kolstad', 'Simen Børven']","['Stian Lonar', 'Esben Meyer Kristensen', 'Kenneth Solberg', 'Truls Vennman', 'Halvor Strand', 'Tor Stian Borhaug', 'Rein Blomquist', 'Tobias Ørnes Andersen', 'Martin Skrebergene', 'Øystein Landsverk']"
90,Limp Bizkit,Alternative_metal,"Jacksonville, Florida, U.S.","['Nu metal', 'rap metal', 'rap rock']","['1994–2006', '2009–present']","['Interscope', 'Flip', 'Cash Money']","['Fred Durst', 'John Otto', 'Sam Rivers', 'Wes Borland', 'DJ Lethal', '']","['Rob Waters', 'Terry Balsamo', 'Mike Smith', '']"
91,Linkin Park,Alternative_metal,"Agoura Hills, California, U.S.","['Alternative rock', 'nu metal', 'alternative metal', 'rap rock', 'electronic rock']",['1996–2017 (hiatus)'],"['Warner Bros.', 'Machine Shop']","['Rob Bourdon', 'Brad Delson', 'Mike Shinoda', 'Dave Farrell', 'Joe Hahn', '']","['Mark Wakefield', 'Kyle Christner', 'Chester Bennington', '']"
92,Living Colour,Alternative_metal,"New York, New York, U.S.","['Rock', 'hard rock', 'funk metal', 'alternative metal']","['1984–1995', '2000–present']","['Megaforce', 'Sanctuary', 'Epic']","['Vernon Reid', 'Corey Glover', 'Will Calhoun', 'Doug Wimbish', '']",['Muzz Skillings']
93,Lostprophets,Alternative_metal,"Pontypridd, Wales","['Alternative rock', 'hard rock', 'nu metal', 'alternative metal', 'post-grunge']",['1997–2013'],"['Epic', 'Fearless', 'Sony Music', 'Visible Noise', 'Megaforce', 'JTV Digital']",,"['Lee Gaze', 'Mike Lewis', 'Stuart Richardson', 'Jamie Oliver', 'Mike Chiplin', 'DJ Stepzak', 'Ilan Rubin', 'Luke Johnson', 'Ian Watkins', '']"
94,Lou Reed and Metallica,Alternative_metal,,,,,,
95,The Lounge Kittens,Alternative_metal,"Southampton, England, UK","['Lounge music, parody, comedy rock']",['2012\xa0(2012)–present'],,"['Jenny Deacon', 'Timia Gwendoline', 'Zan Lawther', '']",
96,Machine Head,Alternative_metal,"Oakland, California, U.S.",['Groove metalthrash metalheavy metalnu metal'],['1991–present'],['RoadrunnerNuclear Blast'],"['Robb Flynn', 'Jared MacEachern', '']","['Adam Duce', 'Tony Costanza', 'Logan Mader', 'Chris Kontos', 'Dave McClain', 'Ahrue Luster', 'Phil Demmel', '']"
97,Marilyn Manson,Alternative_metal,"Fort Lauderdale, Florida","['Industrial metal', 'industrial rock', 'alternative metal', 'hard rock', 'glam rock', 'shock rock']",['1989\xa0(1989)–present'],"['Hell, etc.', 'Loma Vista Recordings', 'Cooking Vinyl', 'Interscope', 'Nothing']","['Marilyn Manson', 'Paul Wiley', 'Juan Alderete', 'Brandon Pertzborn', '']","['Zsa Zsa Speck', 'Olivia Newton Bundy', 'Gidget Gein', 'Sara Lee Lucas', 'Daisy Berkowitz', 'Zim Zum', 'John 5', 'Madonna Wayne Gacy', 'Tim Sköld', 'Ginger Fish', 'Chris Vrenna', 'Fred Sablan', 'Twiggy Ramirez', 'Tyler Bates', 'Gil Sharone', '']"
98,Mastodon,Alternative_metal,"Atlanta, Georgia, United States",['Heavy metalprogressive metalsludge metalstoner rockalternative metal'],['2000–present'],['RepriseRoadrunnerRelapse'],"['Brann Dailor', 'Brent Hinds', 'Bill Kelliher', 'Troy Sanders']",['Eric Saner']
99,Melvins,Alternative_metal,"Montesano, Washington, U.S.","['Experimental rock', 'alternative metal', 'sludge metal', 'grunge', 'hardcore punk']",['1983–present'],"['C/Z', 'Alchemy', 'Boner', 'Atlantic', 'Amphetamine Reptile', ""Man's Ruin"", 'Ipecac', 'Your Choice', 'Alternative Tentacles', 'Slap-a-Ham']","['Buzz Osborne', 'Dale Crover', 'Steven Shane McDonald', 'Jeff Pinkus', '']","['Mike Dillard', 'Matt Lukin', 'Lori Black', 'Joe Preston', 'Mark Deutrom', 'Kevin Rutmanis', 'Jared Warren', 'Coady Willis', 'Trevor Dunn', '']"
100,Metallica,Alternative_metal,"Los Angeles, California, U.S.",['Heavy metalthrash metal'],['1981–present'],['MegaforceElektraVertigoWarner Bros.Blackened'],"['James Hetfield', 'Lars Ulrich', 'Kirk Hammett', 'Robert Trujillo', '']","['Dave Mustaine', 'Ron McGovney', 'Cliff Burton', 'Jason Newsted', '']"
101,Mind Funk,Alternative_metal,,"['Alternative metal, funk metal, grunge, stoner rock']",,['Megaforce RecordsEpic RecordsMusic for Nations'],,
102,Mind Over Four,Alternative_metal,"Orange County, California, United States","['punk, Alternative metal, progressive metal']",['1983–1995'],,"['Spike Xavier', 'Mike Jensen', 'Mark Fullerton', 'Rich Castillo']","['Jeff Koegel', 'Dave Hamilton', '""Dan""', 'Steve Crow', 'Lou Gaez', 'Dan Colburn']"
103,Ministry,Alternative_metal,"Chicago, Illinois, U.S.","['Industrial metal', 'alternative metal', 'thrash metal (later)', 'industrial rock', 'EBM (early)', 'synthpop (early)', 'new wave (early)']","['1981–2008', '2011–present']","['Cleopatra', 'Wax Trax!', 'Situation Two', 'Arista', 'Sire', 'Warner Bros.', 'Sanctuary', '13th Planet', 'Megaforce', 'Nuclear Blast']","['Al Jourgensen', 'John Bechdel', 'Sin Quirin', 'Cesar Soto', ""Paul D'Amour"", 'Derek Abrams', '']",['Mark BakerPaul BarkerDuane BufordStephen GeorgeZlatko HukicJohn MontePaul RavenBill RieflinMike ScacciaLouis SvitekRey WashamTommy VictorAaron RossiRoy MayorgaThomas HoltgreveJason ChristopherDJ SwampTony CamposTerry BonesJohn Soroka']
104,Monster Magnet,Alternative_metal,"Red Bank, New Jersey, United States","['Stoner rock, hard rock, heavy metal, hardcore punk, psychedelic rock']",['1989–present'],"['Circuit Records (1989)Glitterhouse (1989–1991)Caroline, Atypeek Music (1991–1993)A&M Records (1993–2003)SPV Records (2003–2009) Napalm (2009–present)']","['Dave Wyndorf', 'Garrett Sweeny', 'Phil Caivano', 'Bob Pantella', 'Chris Kosnik']","['Ed Mundell', 'Joe Calandra', 'Jon Kleiman', 'Michael Wildwood', 'John McBain', 'Tim Cronin', 'Jim Baglino']"
105,Motionless In White,Alternative_metal,"Scranton, Pennsylvania","['Metalcore', 'gothic metal', 'industrial metal', 'alternative metal', 'nu metal']",['2005–present'],"['Roadrunner', 'Fearless', 'Tragic Hero', 'Masquerade']","['Chris ""Motionless"" Cerulli', 'Ryan Sitkowski', 'Ricky ""Horror"" Olson', 'Vinny Mauro', 'Justin Morrow']","['Kyle White', 'Mike Costanza', 'Frank Polumbo', 'Thomas ""TJ"" Bell', 'Angelo Parente', 'Brandon ""Rage"" Richter', 'Josh Balz', 'Devin ""Ghost"" Sola']"
106,Mother Love Bone,Alternative_metal,"Seattle, Washington, USA",['Alternative rockgrungeglam punkhard rockheavy metalfunk metal'],"['1987–1990(partial reunions: 2010, 2018)']","['Stardog, Mercury']",,"['Jeff Ament', 'Bruce Fairweather', 'Greg Gilmore', 'Stone Gossard', 'Andrew Wood', 'Regan Hagar']"
107,Mötley Crüe,Alternative_metal,"Los Angeles, California, U.S.","['Heavy metal', 'glam metal', 'hard rock']","['1981–2015', '2018–present']","['Mötley', 'Eleven Seven Music', 'Elektra', 'Leathür', 'Warner Music Group']","['Nikki Sixx', 'Mick Mars', 'Vince Neil', 'Tommy Lee', '']","['John Corabi', 'Randy Castillo', 'Samantha Maloney', '']"
108,Mr. Bungle,Alternative_metal,"Eureka, California, United States","['Experimental rock', 'alternative metal', 'avant-garde metal', 'funk metal', 'ska']",['1985\xa0(1985)–2000'],['Warner Bros.'],,
109,Mt. Helium,Alternative_metal,"Los Angeles, California, U.S.","['Alternative metal', 'nu metal', 'progressive metal', 'post-grunge']",['1999–2008'],['Dreamworks'],"['Art Karamian', 'David Hakopyan', 'Sammy J. Watson']",['Ontronik Khachaturian']
110,Mudvayne,Alternative_metal,"Peoria, Illinois, U.S.","['Heavy metal', 'nu metal', 'alternative metal', 'progressive metal', 'hard rock']",['1996–2010'],['Epic'],,"['Chad Gray', 'Matthew McDonough', 'Greg Tribbett', 'Ryan Martinie', '']"
111,Mushroomhead,Alternative_metal,"Cleveland, Ohio, U.S.","['Industrial metal', 'alternative metal', 'nu metal', 'experimental metal', 'electro-industrial']",['1993\xa0(1993)–present'],"['Eclipse, Universal, Megaforce, Filthy Hands, Napalm']","['Steve Felton', 'Rick Thomas', 'Ryan Farrell', 'Robbie Godsey', 'Jason Popson', 'Steve Rauckhorst', 'Tommy Shaffner']","['Tommy Church', 'Jeffrey Hatrix', 'John Sekula', 'Richie Moore', 'Marko Vukcevich', 'Dave Felton', 'Joe Kilcoyne', 'Jack Kilcoyne', 'Joe Lenkey', 'Daniel Fox', 'Waylon Reavis', 'Tom Schmitz']"
112,Nebula,Alternative_metal,"Los Angeles, California, U.S.","['Stoner rock, heavy metal, psychedelic rock']",['1997–2010 (hiatus)2017–present'],"[""Liquor And Poker Music, Meteor City, Sub Pop, Tee Pee Records, Man's Ruin Records""]","['Eddie Glass', 'Tom Davies', 'Mike']","['Ruben Romano', 'Mark Abshire', 'Dennis Wilson', 'Rob Oswald', 'Adam Kriney', 'Isaiah Mitchell', 'Jimmy Sweet']"
113,Nickelback,Alternative_metal,"Hanna, Alberta, Canada","['Post-grunge', 'hard rock', 'pop rock', 'alternative metal', 'alternative rock']",['1995\xa0(1995)–present'],"['EMI Canada', 'Roadrunner', 'Atlantic', 'LiveNation', 'Universal Music Canada', 'Republic', 'BMG']","['Chad Kroeger', 'Ryan Peake', 'Mike Kroeger', 'Daniel Adair', '']","['Brandon Kroeger', 'Mitch Guindon', 'Ryan Vikedal', '']"
114,Nine Inch Nails,Alternative_metal,"Cleveland, Ohio, U.S.","['Industrial rock', 'industrial', 'alternative rock', 'electronic rock']",['1988–present'],"['Nothing', 'TVT', 'Interscope', 'The Null Corporation', 'Columbia']","['Trent Reznor', 'Atticus Ross', '']",['List of Nine Inch Nails band members']
115,Nonpoint,Alternative_metal,"Fort Lauderdale, Florida, United States","['Nu metal', 'alternative metal', 'hard rock']",['1997–present'],"['Bieler', 'Lava', 'MCA', 'Razor & Tie', 'Metal Blade', 'Spinefarm']","['Elias Soriano', 'Robb Rivera', 'Rasheed Thomas', 'Adam Woloszyn', 'BC Kochmit', '']",
116,Nothingface,Alternative_metal,"Washington D.C., U.S.","['Alternative metal', 'nu metal']","['1993–2004, 2005–2009']","['DCide, TVT, S6']",,"['Matt Holt', 'Tom Maxwell', 'Bill Gaal', 'Chris Houck']"
117,Norma Jean,Alternative_metal,"Douglasville, Georgia, United States","['Metalcore, hardcore punk']",['1997–present'],"['Takehold, Solid State, Razor & Tie']","['Phillip Farris', 'Cory Brandan', '']","['Daniel Davison', 'Josh Doolittle', 'Scottie Henry', 'Josh Scogin', 'Jake Schultz', 'Chris Raines', 'Chris Day', 'Josh Swofford', 'Mick Bailey', 'Clayton Holyoak', 'John Finnegan', 'Jeff Hickey', 'Ryan Leger', '']"
118,One OK Rock,Alternative_metal,"Tokyo, Japan","['Alternative rock', 'power pop', 'post-hardcore', 'pop punk', 'emo', 'post-grunge']",['2005–present'],"['Fueled by Ramen', 'Warner Bros.', 'A-Sketch']","['Takahiro Moriuchi', 'Toru Yamashita', 'Ryota Kohama', 'Tomoya Kanki', '']","['Alexander Reimon Onizawa', 'Yu Koyanagi', '']"
119,Okilly Dokilly,Alternative_metal,"Phoenix, Arizona, United States","['Metalcore, parody music, heavy metal, comedy rock, christian rock']",['2015–present'],,"['Head Ned', 'Shred Ned', 'Zed Ned', 'Dread Ned', 'Bed Ned']","['Bled Ned', 'Red Ned', 'Stead Ned', 'Cred Ned', 'Dead Ned']"
120,Orangutang,Alternative_metal,,,,,,
121,Orgy,Alternative_metal,"Los Angeles, California, United States",['Industrial rockindustrial metalelectronic rocknu metalalternative metal'],"['1994–2005, 2010–present']",['ElementreeRepriseD1 Music'],"['Jay Gordon', 'Carlton Bost', ' ', 'Creighton Emrick', 'Marton Veress']","['Ryan Shuck', 'Amir Derakh', 'Paige Haley', 'Bobby Hewitt', 'Jamie Miller', 'Ashburn Miller', 'Bobby Amaro', 'Raanen Bozzio', 'Ilia Yordanov', 'Ryan Browne']"
122,Otep,Alternative_metal,"Los Angeles, California, U.S.","['Nu metal', 'alternative metal', 'rap metal']",['1995–present'],['CapitolVictoryKochEMINapalm'],"['Otep Shamaya', 'Ari Mihalopoulos', 'Justin Kier', 'Andrew Barnes', '']",
123,Papa Roach,Alternative_metal,"Vacaville, California, United States",['Hard rocknu metalrap metalalternative metalalternative rock'],['1993\xa0(1993)–present'],['Eleven SevenDGCInterscopeGeffenDreamWorks'],"['Jacoby Shaddix', 'Jerry Horton', 'Tobin Esperance', 'Tony Palermo', '']","['Dave Buckner', 'Ben Luther', 'Will James', 'Ryan Brown', '']"
124,Pitchshifter,Alternative_metal,"Nottingham, United Kingdom","['Industrial metal, industrial rock, drum and bass, nu metal']","['1989–2003, 2006–2008, 2018–present']","['PSI, Sanctuary, MCA, Geffen, Earache, Peaceville']","['JS Clayden', 'Mark D. Clayden', 'Dan Rayner', 'Tim Rayner', 'Simon Hutchby']","['Johnny A. Carter', 'Stuart Toolin', 'Jim Davies', 'Matt Grundy', 'D.J. Walters', 'Matt Godfrey', 'Jason Bowld']"
125,P.O.D.,Alternative_metal,"San Diego, California, U.S.","['Christian metal', 'nu metal', 'rap metal', 'alternative metal', 'rapcore', 'hard rock']",['1992–present'],"['Rescue', 'Atlantic', 'Columbia/INO', 'Razor & Tie', 'Tooth & Nail', 'Mascot']","['Sonny Sandoval', 'Wuv Bernardo', 'Traa Daniels', 'Marcos Curiel', '']","['Jason Truby', 'Gabe Portillo', '']"
